result,table,_time,_value,_field,_measurement,sensor_id
,0,2023-04-18T23:49:42Z,0.505268189,co,airSensors,TLM0100
,0,2023-04-18T23:49:52Z,0.494783725,co,airSensors,TLM0100
,0,2023-04-18T23:50:02Z,0.479823054,co,airSensors,TLM0100
,0,2023-04-18T23:50:12Z,0.492489494,co,airSensors,TLM0100
,0,2023-04-18T23:50:22Z,0.484314251,co,airSensors,TLM0100
,0,2023-04-18T23:50:32Z,0.481175282,co,airSensors,TLM0100
,0,2023-04-18T23:50:42Z,0.482463582,co,airSensors,TLM0100
,0,2023-04-18T23:50:52Z,0.463869358,co,airSensors,TLM0100
,0,2023-04-18T23:51:02Z,0.462136655,co,airSensors,TLM0100
,0,2023-04-18T23:51:12Z,0.442441142,co,airSensors,TLM0100
,0,2023-04-18T23:51:22Z,0.43133765,co,airSensors,TLM0100
,0,2023-04-18T23:51:32Z,0.422230369,co,airSensors,TLM0100
,0,2023-04-18T23:51:42Z,0.418388614,co,airSensors,TLM0100
,0,2023-04-18T23:51:52Z,0.4062797,co,airSensors,TLM0100
,0,2023-04-18T23:52:02Z,0.414378253,co,airSensors,TLM0100
,0,2023-04-18T23:52:12Z,0.423458571,co,airSensors,TLM0100
,0,2023-04-18T23:52:22Z,0.418199773,co,airSensors,TLM0100
,0,2023-04-18T23:52:32Z,0.408682328,co,airSensors,TLM0100
,0,2023-04-18T23:52:42Z,0.395628858,co,airSensors,TLM0100
,0,2023-04-18T23:52:52Z,0.387945245,co,airSensors,TLM0100
,0,2023-04-18T23:53:02Z,0.378950624,co,airSensors,TLM0100
,0,2023-04-18T23:53:12Z,0.38451882,co,airSensors,TLM0100
,0,2023-04-18T23:53:22Z,0.396155959,co,airSensors,TLM0100
,0,2023-04-18T23:53:32Z,0.400357366,co,airSensors,TLM0100
,0,2023-04-18T23:53:42Z,0.413378554,co,airSensors,TLM0100
,0,2023-04-18T23:53:52Z,0.410937429,co,airSensors,TLM0100
,0,2023-04-18T23:54:02Z,0.397099047,co,airSensors,TLM0100
,0,2023-04-18T23:54:12Z,0.390008946,co,airSensors,TLM0100
,0,2023-04-18T23:54:22Z,0.373182309,co,airSensors,TLM0100
,0,2023-04-18T23:54:32Z,0.389073612,co,airSensors,TLM0100
,0,2023-04-18T23:54:42Z,0.407968359,co,airSensors,TLM0100
,0,2023-04-18T23:54:52Z,0.403108349,co,airSensors,TLM0100
,0,2023-04-18T23:55:02Z,0.410726451,co,airSensors,TLM0100
,0,2023-04-18T23:55:12Z,0.414083712,co,airSensors,TLM0100
,0,2023-04-18T23:55:22Z,0.397376525,co,airSensors,TLM0100
,0,2023-04-18T23:55:32Z,0.378274229,co,airSensors,TLM0100
,0,2023-04-18T23:55:42Z,0.387837086,co,airSensors,TLM0100
,0,2023-04-18T23:55:52Z,0.374020476,co,airSensors,TLM0100
,0,2023-04-18T23:56:02Z,0.388987475,co,airSensors,TLM0100
,0,2023-04-18T23:56:12Z,0.399154454,co,airSensors,TLM0100
,0,2023-04-18T23:56:22Z,0.386170031,co,airSensors,TLM0100
,0,2023-04-18T23:56:32Z,0.384799771,co,airSensors,TLM0100
,0,2023-04-18T23:56:42Z,0.364902655,co,airSensors,TLM0100
,0,2023-04-18T23:56:52Z,0.36140709,co,airSensors,TLM0100
,0,2023-04-18T23:57:02Z,0.374003345,co,airSensors,TLM0100
,0,2023-04-18T23:57:12Z,0.383172602,co,airSensors,TLM0100
,0,2023-04-18T23:57:22Z,0.375972466,co,airSensors,TLM0100
,0,2023-04-18T23:57:32Z,0.372627176,co,airSensors,TLM0100
,0,2023-04-18T23:57:42Z,0.389904098,co,airSensors,TLM0100
,0,2023-04-18T23:57:52Z,0.398203251,co,airSensors,TLM0100
,0,2023-04-18T23:58:02Z,0.401516914,co,airSensors,TLM0100
,0,2023-04-18T23:58:12Z,0.396540227,co,airSensors,TLM0100
,0,2023-04-18T23:58:22Z,0.377399106,co,airSensors,TLM0100
,0,2023-04-18T23:58:32Z,0.357904754,co,airSensors,TLM0100
,0,2023-04-18T23:58:42Z,0.354641214,co,airSensors,TLM0100
,0,2023-04-18T23:58:52Z,0.337666472,co,airSensors,TLM0100
,0,2023-04-18T23:59:02Z,0.325844293,co,airSensors,TLM0100
,0,2023-04-18T23:59:12Z,0.321948464,co,airSensors,TLM0100
,0,2023-04-18T23:59:22Z,0.330071508,co,airSensors,TLM0100
,0,2023-04-18T23:59:32Z,0.310904318,co,airSensors,TLM0100
,0,2023-04-18T23:59:42Z,0.326006292,co,airSensors,TLM0100
,0,2023-04-18T23:59:52Z,0.339412092,co,airSensors,TLM0100
,0,2023-04-19T00:00:02Z,0.328825074,co,airSensors,TLM0100
,0,2023-04-19T00:00:12Z,0.344121829,co,airSensors,TLM0100
,0,2023-04-19T00:00:22Z,0.337512902,co,airSensors,TLM0100
,0,2023-04-19T00:00:32Z,0.347986724,co,airSensors,TLM0100
,0,2023-04-19T00:00:42Z,0.340274621,co,airSensors,TLM0100
,0,2023-04-19T00:00:52Z,0.329156597,co,airSensors,TLM0100
,0,2023-04-19T00:01:02Z,0.346227654,co,airSensors,TLM0100
,0,2023-04-19T00:01:12Z,0.352119125,co,airSensors,TLM0100
,0,2023-04-19T00:01:22Z,0.341776105,co,airSensors,TLM0100
,0,2023-04-19T00:01:32Z,0.339278723,co,airSensors,TLM0100
,0,2023-04-19T00:01:42Z,0.336535585,co,airSensors,TLM0100
,0,2023-04-19T00:01:52Z,0.337761867,co,airSensors,TLM0100
,0,2023-04-19T00:02:02Z,0.349903155,co,airSensors,TLM0100
